"disease_name","english_name","pathogen","category","susceptible_species","transmission","incubation_period","symptoms","diagnosis","treatment","prevention","mortality","is_zoonotic","severity","notes"
"猫瘟(猫泛白细胞减少症)","Feline Panleukopenia (FPV)","猫细小病毒(FPV)/犬细小病毒(CPV)","病毒性","猫(尤以幼猫易感)","接触病猫粪便、呕吐物、唾液;经污染环境、食具、猫砂盆间接传播;孕猫可经胎盘传染胎儿","2-9天(平均4天)","突发高热(40℃以上);频繁呕吐(黄绿色胆汁样);严重腹泻(水样或血便、番茄酱样恶臭);白细胞急剧减少(低于2000/μL);精神沉郁、厌食、脱水;幼猫可出现小脑发育不全共济失调","血常规(白细胞显著减少);FPV抗原快速检测试纸(测粪便);PCR检测病毒DNA;结合临床症状与疫苗接种史","无特效药;支持疗法为主;静脉输液纠正脱水及电解质紊乱;止吐药(马罗匹坦);广谱抗生素预防继发感染(氨苄西林+恩诺沙星);必要时使用粒细胞集落刺激因子提升白细胞;隔离护理","接种猫三联疫苗(防猫瘟、杯状、疱疹);幼猫8周龄首免;每3-4周一次至16周龄;每年加强;环境用含氯消毒剂(1:32稀释漂白水)消毒;新猫隔离观察","幼猫未免疫死亡率可达80%-90%;成年猫10%-30%","否","极高","又称猫瘟热、猫传染性肠炎;病毒环境抵抗力极强(室温存活1年以上);对乙醚、氯仿耐受;0.5%福尔马林可杀灭;中国多省均有流行"
"猫杯状病毒感染","Feline Calicivirus Infection (FCV)","猫杯状病毒(FCV)","病毒性","猫(各年龄均易感;幼猫症状重)","飞沫传播(打喷嚏);直接接触病猫分泌物;间接接触污染食具、环境","2-6天","上呼吸道症状:打喷嚏、流鼻涕;口腔溃疡(硬腭、舌面水泡溃疡)为特征性表现;流涎;结膜炎;双相热;跛行综合征;少数高致病性毒株(FCV-VSD)可致全身水肿、皮肤溃疡、多器官衰竭","临床症征(口腔溃疡);PCR检测(咽拭子/粪便);血清学检测;排除猫疱疹病毒感染","支持疗法;补液维持水盐平衡;营养支持(鼻饲);抗生素预防继发感染(阿莫西林克拉维酸钾);口腔护理(生理盐水+溶菌酶喷雾);抗病毒药(干扰素、泛昔洛韦对部分毒株有效)","接种猫三联疫苗(含FCV);因毒株变异多疫苗保护不完整但可降低重症率;多猫环境降低密度、减少应激;新猫隔离","普通毒株死亡率低(1%-3%);高致病性VSD毒株死亡率50%-80%","否","中","发病率高;多猫家庭/猫舍感染率可达80%以上;康复猫可长期排毒(数月至数年);毒株变异大疫苗保护有限"
"猫疱疹病毒感染(猫鼻支)","Feline Herpesvirus-1 Infection (FHV-1/FVR)","猫疱疹病毒I型(FHV-1)","病毒性","猫(幼猫高发)","飞沫传播;直接接触眼鼻分泌物;间接接触污染物;母猫传仔","2-6天","剧烈打喷嚏;脓性鼻涕(黄绿色);结膜炎(眼周分泌物、角膜溃疡);发热;食欲下降;咳嗽;角膜溃疡为特征性;慢性期反复鼻塞、角膜炎;应激可诱发复发","临床症征(角膜溃疡+脓性鼻涕);PCR检测;免疫荧光;排除杯状病毒","支持疗法;补液;抗病毒药(泛昔洛韦、阿昔洛韦眼药水);干扰素;抗生素控制继发感染(阿莫西林、头孢曲松);雾化治疗;赖氨酸辅助(疗效有争议)","接种猫三联疫苗(含FHV-1);降低应激;新猫隔离;康复猫终身带毒应避免与易感猫接触","幼猫或免疫低下猫死亡率较高;成年猫死亡率低","否","中","又称猫病毒性鼻气管炎、猫鼻支;病毒终身潜伏于神经节;应激(搬家、新猫、生病)可激活复发;最常见的猫上呼吸道感染之一"
"猫传染性腹膜炎","Feline Infectious Peritonitis (FIP)","猫冠状病毒突变株(FIPV,由FCoV突变而来)","病毒性","猫(尤以2岁以下幼猫、纯种猫)","猫冠状病毒(FCoV)经粪便、唾液传播;FIP本身不直接传染(为体内突变所致);多猫环境FCoV感染率高","数周至数月(FCoV感染后突变时间不定)","湿性(渗出型、约70%):腹腔/胸腔积液、腹部膨大、呼吸困难、黄疸、发热、消瘦;干性(非渗出型、约30%):肉芽肿性病变、葡萄膜炎、神经症状(共济失调、抽搐)、肾肿大、黄疸;共同症状:波动热、进行性消瘦、精神沉郁","综合诊断:病史+临床症状;血液检查(SAA极度升高>100mg/L、白球比<0.4、高球蛋白);李凡他试验(积液);PCR检测FCoV;影像学(B超/CT);免疫组织化学;无单一金标准","GS-441524(441)抗病毒药物(治愈率80%-95%);支持疗法;免疫调节;糖皮质激素(争议);对症治疗(利尿、营养支持)","无有效疫苗;减少应激(避免频繁换环境);保持环境干燥;降低猫群密度;FCoV感染率高但仅少数突变发病","未治疗死亡率接近100%(湿性1-2周;干性数月);规范441治疗治愈率80%-95%","否","极高","曾经「猫界绝症」;2019年后GS-441524突破性治疗;FCoV在多猫家庭感染率可达90%但仅1%-5%发展为FIP;波斯猫、布偶猫、缅甸猫更易感"
"猫白血病","Feline Leukemia Virus Infection (FeLV)","猫白血病病毒(FeLV,逆转录病毒)","病毒性","猫(幼猫最易感)","唾液传播(相互梳理毛发、共食);咬伤;母婴垂直传播(胎盘、乳汁);血液传播","2-5周可检出抗原;潜伏可数年","持续性发热;贫血(黏膜苍白);体重下降;食欲不振;淋巴结肿大;口腔炎症(牙龈炎、口炎);反复感染(呼吸道、皮肤);繁殖障碍(流产、死胎);肿瘤(淋巴瘤、白血病);免疫抑制","SNAP快速检测(抗原/抗体);ELISA;PCR检测(前病毒DNA);免疫荧光;血常规(贫血、白细胞减少);骨髓检查","无特效药;支持疗法;抗逆转录病毒药物(有限效果);免疫调节(干扰素);治疗继发感染;肿瘤化疗;隔离饲养防止传播","接种FeLV疫苗(非核心但推荐外出猫、多猫家庭);幼猫9-10周龄首免;每年加强;检测淘汰阳性猫;室内饲养减少接触","持续感染猫平均生存期2-3年;退行感染猫可长期存活","否","高","全球感染率约1%-3%;幼猫比成年猫易感;病毒在环境中脆弱易被消毒剂灭活;有疫苗但保护率75%-85%;我国已较少见"
"猫免疫缺陷病毒感染(猫艾滋)","Feline Immunodeficiency Virus Infection (FIV)","猫免疫缺陷病毒(FIV,慢病毒属逆转录病毒)","病毒性","猫(尤以未绝育公猫、外出猫)","主要通过咬伤传播(打架);偶经母婴传播;不通过日常温和接触传播","急性期4-6周;潜伏期数月至10余年","急性期:轻度发热、淋巴结肿大、一过性白细胞减少;无症状携带期(数年至10年以上);AIDS期:反复口腔炎、慢性腹泻、皮肤病、体重下降、淋巴结肿大、肿瘤、神经症状、机会性感染","SNAP快速检测(抗体);ELISA;PCR确诊(因疫苗可致假阳性);Western blot确诊;血常规;CD4/CD8比值下降","无特效药;支持疗法;抗逆转录病毒药物(有限);免疫调节(干扰素);治疗继发感染;室内隔离饲养;绝育减少打架","无有效疫苗(我国无);绝育减少打架传播;室内饲养;检测隔离阳性猫;新猫入家前检测","感染后终身带毒;AIDS期死亡率高但进展缓慢","否","中","又称猫艾滋;不传染人;与HIV同属但不跨物种;公猫感染率高于母猫;平均感染年龄3-5岁;多数FIV猫可正常生活多年"
"猫冠状病毒感染","Feline Coronavirus Infection (FCoV)","猫冠状病毒(FCoV)","病毒性","猫(多猫环境感染率高)","粪口传播(共用猫砂盆);唾液传播;间接接触污染物","7-10天","多数感染猫无症状;部分出现轻微腹泻(软便、间歇性);偶有上呼吸道症状;病毒可长期潜伏肠道;少数(1%-5%)突变发展为FIP","PCR检测(粪便/直肠拭子);血清抗体检测;结合多猫环境史","支持疗法;对症治疗腹泻;抗病毒药物效果有限;无特效药;减少应激防止突变","无疫苗;降低猫群密度;勤清理猫砂盆;减少应激;新猫隔离;FCoV感染后不能完全清除","FCoV本身死亡率极低;突变FIP后死亡率高","否","低","FCoV在多猫家庭感染率可达80%-90%;40%猫感染FCoV;仅1%-5%突变发展为FIP;病毒在潮湿环境存活数周;不传染人或其他动物"
"猫痘病毒感染","Feline Poxvirus Infection","牛痘病毒(Cowpox virus,正痘病毒属)","病毒性","猫(户外捕猎猫易感)","接触感染啮齿类(田鼠、小鼠);皮肤伤口侵入;猫间罕见传播","数天至2周","皮肤病变为主:面部、爪部、耳部出现丘疹、水泡、脓疱、溃疡、结痂;继发细菌感染;少数全身性感染(肺炎、发热、厌食);免疫低下猫可严重","临床症征(特征性皮肤病变);PCR检测;病毒分离;组织病理学;排除其他皮肤病","支持疗法;防止继发感染(抗生素);局部清创;伊丽莎白圈防止舔舐;严重病例隔离;禁用糖皮质激素","减少捕猎啮齿类;室内饲养;控制鼠害;隔离病猫;接触病猫戴手套","健康猫死亡率低;免疫低下猫死亡率较高","是","中","人畜共患(人接触可致皮肤病变);多见于欧洲(牛痘病毒);猫为主要终末宿主;多发生在秋冬季啮齿类活动期"
"猫衣原体感染","Feline Chlamydiosis","猫衣原体(Chlamydophila felis)","细菌性","猫(幼猫、多猫环境)","直接接触眼鼻分泌物;飞沫传播;污染物间接传播;人偶发结膜炎","3-10天","特征性结膜炎(初期单眼后波及双眼);眼分泌物(浆液性至脓性);结膜充血水肿;打喷嚏;轻度鼻涕;全身症状轻;慢性反复发作","PCR检测(结膜拭子);细胞学(胞内包涵体);血清学;排除FHV-1、FCV","多西环素(5-10mg/kg,每日2次,疗程3-4周);阿奇霉素;局部眼药(四环素眼膏);全身用药为主;所有同居猫同时治疗","接种猫衣原体疫苗(非核心);多猫环境降低密度;新猫隔离筛查;环境消毒","死亡率低;未治疗可慢性化反复发作","是","中","人偶发结膜炎(罕见);幼猫(6周-1岁)高发;占猫上呼吸道感染5%-30%;常与FHV-1、FCV混合感染;治疗后可能复发"
"猫支原体感染","Feline Mycoplasmosis","猫支原体(Mycoplasma felis)","细菌性","猫","飞沫传播;直接接触分泌物;污染物;共栖菌在应激下致病","5-10天","上呼吸道症状:打喷嚏、流鼻涕;结膜炎;肺炎(咳嗽、呼吸困难);部分引起贫血(猫血支原体M.haemofelis破坏红细胞);慢性迁延","PCR检测;细胞学;血常规(贫血);排除其他病原","多西环素;阿奇霉素;恩诺沙星;局部眼药;支持疗法;贫血严重需输血","无疫苗;降低应激;多猫环境管理;新猫隔离;环境消毒","死亡率低(健康猫);免疫低下猫可严重","否","中","支原体无细胞壁(对β-内酰胺类抗生素无效);常为继发感染;猫血支原体可致猫传染性贫血(FeLV/FIV阳性猫高发)"
