"defect_name","english_name","category","affected_breeds","cause","onset_age","symptom","diagnosis","prevention","treatment","severity","screening_advice","notes"
"软骨骨化发育不全","Scottish Fold Osteochondrodysplasia (SFOCD)","骨骼","苏格兰折耳猫；美短；英短","常染色体显性遗传；Fd基因突变影响全身软骨发育；纯合子病情严重；杂合子亦必然发病","纯合子1-12月龄；杂合子6月-6岁","尾巴变短变粗且不能弯曲；四肢跛行或踩高跷样；弹跳能力下降；爪子肿胀畸形；后肢后展坐姿(佛系坐姿)；关节疼痛；活动力下降","X光；CT；MRI评估骨骼病变及骨刺；基因检测Fd突变","避免折耳猫之间交配；繁育时检测Fd基因；不建议繁育折耳猫","无法根治；NSAIDs消炎止痛；神经痛药物；葡萄糖胺+软骨素+Omega-3保健品；激光治疗；物理治疗；严重者安乐死","重度","基因检测Fd突变；定期X光/CT影像检查；年度关节评估","所有折耳猫均携带致病基因；折耳外观本身即由该基因导致；英国BVA建议禁止繁育"
"多囊肾病","Polycystic Kidney Disease (PKD)","肾脏","波斯猫；异国短毛猫；喜马拉雅猫；金吉拉；英短；美短","常染色体显性遗传；PKD1基因突变；猫肾小管上皮细胞异常增生形成囊肿","幼年期即可检出囊肿；中晚年(3-10岁)出现症状","嗜睡；食欲减退；过度饮水和排尿；体重减轻；偶尔呕吐；与慢性肾衰症状相似；最终肾脏组织坏死和机能不足","肾脏超声波(金标准)；基因检测PKD1突变；血液生化(肌酐、SDMA)","繁育前基因检测剔除携带者；避免携带者之间交配","无法治愈；支持性治疗；肾脏处方粮；皮下补液；磷结合剂；降压药；EPO治疗贫血；肾移植","重度","肾脏超声波年度检查；基因检测PKD1；定期血液生化及尿检","波斯猫系品种高发约36-49%；彩猫、夏特尔等波斯血统品种同样高发"
"短鼻呼吸综合征","Brachycephalic Obstructive Airway Syndrome (BOAS)","呼吸","波斯猫；异国短毛猫；喜马拉雅猫；孟买猫","多基因遗传；短头颅畸形导致鼻腔狭窄；软腭过长；气管发育不良","出生即存在；随年龄增长而加重","呼吸困难；打鼾；张口呼吸；运动不耐受；睡眠呼吸暂停；易中暑；舌头发紫(缺氧)","临床体征评估；X光评估气道；内窥镜检查鼻腔/软腭","避免极端短头品种繁育；选择头骨较长的个体；控制体重；避免高温环境","手术矫正(软腭切除；鼻孔成形；喉囊切除)；环境降温；控制运动量","中度","定期呼吸评估；高温环境监测","扁脸猫易合并泪管阻塞与皮肤褶皱皮炎"
"泪管阻塞/泪溢","Nasolacrimal Duct Obstruction","眼科","波斯猫；异国短毛猫；喜马拉雅猫；金吉拉","面部结构扁平导致泪管走向异常；常染色体遗传倾向","幼年期开始；终生持续","眼角持续流泪；眼下毛发烧红棕色(泪痕)；皮肤浸渍发炎；继发细菌感染","眼科检查；泪道冲洗造影；荧光素染色","定期清洁眼部分泌物；选择面部结构较正常的个体繁育","泪道冲洗；泪管插管；手术重建泪道；抗菌眼药水控制继发感染","轻度","定期眼部清洁；眼科检查","扁脸品种几乎普遍存在；管理重于治疗"
"高草酸尿症II型","Primary Hyperoxaluria Type II","代谢","异国短毛猫；苏格兰折耳猫","常染色体隐性遗传；肝脏代谢异常导致内源性草酸盐过多","平均7-10岁；公猫约母猫1.5倍","食欲不振；呕吐；嗜睡；尿量减少；腹痛；急性肾功能衰竭；血尿","尿检草酸钙结晶；血液生化；肾脏活检；基因检测","繁育前基因检测剔除携带者","支持治疗；输液；控制肾衰；严重者透析或安乐死","致死性","基因检测；定期尿检及肾功能监测","可导致急性肾衰死亡"
"胱氨酸尿症I-A","Cystinuria Type I-A","代谢","暹罗猫；异国短毛猫；苏格兰折耳猫；美短；英短；中华田园猫","常染色体遗传；氨基酸重吸收缺陷导致泌尿道形成胱氨酸结晶","平均3.2岁；4月龄-11岁均可发病；公猫约64%","排尿困难；尿频尿痛；血尿；尿路阻塞；若不及时治疗可致肾衰竭、膀胱破裂","尿检胱氨酸结晶(六角形)；超声波检查膀胱结石","充足饮水；处方粮；基因检测剔除携带者","处方溶石粮；增加饮水；手术取石；导尿","中度","尿检；超声波检查；基因检测","公猫因尿道狭窄更易阻塞"
"肥厚型心肌病(猫)","Hypertrophic Cardiomyopathy (HCM)","心脏","缅因猫；布偶猫；英短；美短；波斯猫；苏格兰折耳猫；喜马拉雅猫；斯芬克斯无毛猫；挪威森林猫；西伯利亚猫；孟加拉豹猫","缅因猫A31P突变(常染色体显性)；布偶猫R820W突变(常染色体显性)；其他品种可能存在多基因遗传；MYBPC3基因突变","平均5-7岁；3月龄-17岁均可；布偶/斯芬克斯可早至2岁","早期无症状；活动耐量下降；呼吸急促；腹式呼吸；张口呼吸；肺水肿粉红色泡沫痰；突然后肢瘫痪(血栓)；晕厥；猝死","心脏超声(金标准；舒张期左室壁>6mm)；心电图；胸部X光；NT-proBNP；基因检测","基因检测剔除携带者；避免近亲繁殖；控制体重及血压","无治愈手段；β受体阻滞剂；ACE抑制剂；抗血栓药(氯吡格雷)；利尿剂；心衰管理","重度","年度心脏超声(尤其1岁后)；基因检测A31P/R820W；NT-proBNP筛查","猫最常见心脏病；雄性占75%；约15%家猫患病"
"脊髓性肌萎缩","Spinal Muscular Atrophy (SMA)","神经","缅因猫","常染色体隐性遗传；LIX1基因突变导致脊髓运动神经元变性","幼年期(3-4月龄)开始","后肢无力；步态异常；肌肉萎缩；跳跃困难；不痛；感觉功能正常","基因检测LIX1；神经学检查；肌电图","繁育前基因检测剔除携带者","无特效治疗；支持护理；环境调整","中度","基因检测LIX1","缅因猫特有；非致死但影响运动"
"髋关节发育不良(猫)","Feline Hip Dysplasia","骨骼","缅因猫；波斯猫；布偶猫","多基因遗传；髋臼与股骨头发育不匹配","幼年期开始显现","跛行；后肢无力；不愿意跳跃；兔子跳步态","X光评估(OFA评分)；触诊","控制体重；避免过度运动；选择髋关节正常的种猫","关节保健品；NSAIDs；控制体重；严重者手术","中度","种猫X光筛查；定期骨科检查","大型猫品种多发"
"进行性视网膜萎缩(猫-rdAc)","Progressive Retinal Atrophy (rdAc)","眼科","阿比西尼亚猫；索马里猫；奥西猫；暹罗猫；东方短毛猫；孟加拉豹猫","常染色体隐性遗传；CEP290基因突变(rdAc)","3-5岁开始","夜盲首发；瞳孔异常放大；眼底反射增强；撞物；3-5年内完全失明","眼底镜检查；视网膜电图(ERG)；基因检测CEP290","基因检测剔除携带者；避免携带者交配","无治愈手段；环境适应(家具固定、夜间灯)；抗氧化补充","中度","基因检测；定期眼科检查(ERG)","阿比西尼亚猫高发；早期夜盲为主"
