"ingredient_name","english_name","category","sub_category","source","main_nutrient","nutritional_value","efficacy","reference_range","suitable_for","caution","is_controversial","notes"
"鸡肉","Chicken","动物蛋白","鲜肉","动物源","蛋白质","优质动物蛋白；含完整氨基酸谱；适口性佳；含水分约70%-80%","提供肌肉生长所需氨基酸；维持肌肉量；易消化吸收","成猫粮粗蛋白≥26%（GB/T 31217）；成犬粮粗蛋白≥18%（GB/T 31216）；高端猫粮动物蛋白占比≥90%","猫狗通用","鲜鸡肉含水量高；配料表首位鲜鸡肉脱水后实际干物质占比可能低于肉粉；需明确标注部位","否","《宠物饲料标签规定》要求按投料重量降序排列；鲜肉营养保留度高"
"鸡肉粉","Chicken Meal","动物蛋白","肉粉","动物源","蛋白质","脱水浓缩鸡肉蛋白；蛋白质含量高达65%-70%；稳定易储存","提供高浓度动物蛋白；提升粮的蛋白含量；保障氨基酸平衡","优质鸡肉粉蛋白含量≥65%；猫粮动物原料占比建议≥80%","猫狗通用","需明确标注物种来源（鸡肉粉）而非模糊的禽肉粉；优质肉粉非劣质原料","否","鲜肉经温和烹煮、脱脂、干燥得到的浓缩蛋白产品"
"火鸡肉","Turkey","动物蛋白","鲜肉","动物源","蛋白质","低脂高蛋白肉类；含色氨酸、B族维生素；致敏率较低","提供优质蛋白；适合易过敏宠物；低脂有助体重管理","成猫粮粗蛋白≥26%；火鸡蛋白质含量约24%-27%（鲜重）","猫狗通用","单一蛋白源适合过敏排查；注意标注是否去骨","否","常作为低敏配方或替换蛋白源"
"牛肉","Beef","动物蛋白","鲜肉","动物源","蛋白质","高生物价蛋白；富含铁、锌、B12；肌红蛋白含量高","促进肌肉生长；补充血红素铁；增强体力","成犬粮粗蛋白≥18%；牛肉蛋白质含量约20%-26%（鲜重）","猫狗通用","牛肉是宠物常见致敏原之一；高嘌呤宠物慎用","是","部分猫狗对牛肉蛋白过敏；致敏率相对较高"
"羊肉","Lamb","动物蛋白","鲜肉","动物源","蛋白质","优质蛋白；含左旋肉碱、B族维生素；脂肪含量中等","提供易消化蛋白；适合敏感肠胃；温补属性","成猫粮粗蛋白≥26%；羊肉蛋白质含量约20%-25%（鲜重）","猫狗通用","致敏率较低；常用于低敏配方","否","常作为单一蛋白源用于排除饮食试验"
"鸭肉","Duck","动物蛋白","鲜肉","动物源","蛋白质","低致敏蛋白源；含不饱和脂肪酸；性凉易消化","适合过敏体质；清热降火；提供优质蛋白","成猫粮粗蛋白≥26%；鸭肉蛋白质含量约18%-23%（鲜重）","猫狗通用","致敏率低；适合易上火、易过敏宠物","否","常作为低敏配方主蛋白源"
"三文鱼","Salmon","动物蛋白","鱼肉","动物源","蛋白质","富含Omega-3（EPA/DHA）；优质蛋白；含维生素D","美毛护肤；抗炎；支持心血管和脑部发育","鱼油中EPA+DHA建议占比≥1%；猫粮牛磺酸≥0.1%","猫狗通用","注意重金属富集风险；优选可溯源产地","否","同时是Omega-3脂肪酸的重要来源"
"鳕鱼","Cod","动物蛋白","鱼肉","动物源","蛋白质","低脂高蛋白白肉鱼；含碘、磷、B12；易消化","提供低脂优质蛋白；适合老年宠和减肥宠","成猫粮粗蛋白≥26%；鳕鱼蛋白质含量约16%-20%（鲜重）","猫狗通用","低脂特点适合控制体重宠物","否","白肉鱼致敏率低"
"金枪鱼","Tuna","动物蛋白","鱼肉","动物源","蛋白质","高蛋白；富含Omega-3和硒；适口性极强","提供优质蛋白；强化免疫","猫粮牛磺酸≥0.1%；金枪鱼蛋白质含量约23%-28%（鲜重）","猫狗通用","重金属汞富集风险较高；不宜作为唯一蛋白源长期喂食","是","部分低价粮用金枪鱼诱食；长期单一食用存在汞中毒风险"
"沙丁鱼","Sardine","动物蛋白","鱼肉","动物源","蛋白质","富含Omega-3、维生素D和钙（带骨）；低汞鱼类","美毛抗炎；补钙；支持心血管健康","猫粮粗脂肪≥9%；沙丁鱼蛋白质含量约20%-25%（鲜重）","猫狗通用","相对低汞；带骨沙丁鱼可提供钙质","否","整体为低污染的优质小型海鱼"
