"display_name","alias","category","origin","size","weight_min","weight_max","body_length_min","body_length_max","height_min","height_max","coat_type","lifespan_min","lifespan_max","personality","nutrition_notes","common_risks","disease_resistance","exercise_need","suitable_for","notes"
"狸花猫","Dragon Li、中国狸花猫、梨花猫","中华田园猫","中国","中型","3","6","","","","","短毛(双层)","12","18","聪明独立、警惕性高、对主人忠诚黏人、捕猎能力强","不挑食、体质强健；注意均衡饮食避免肥胖","猫传染性腹膜炎（偶发）；肥胖；口腔疾病","较强（基因多样性高，遗传病少，自然品种）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭、适合乡村与城市","CFA/TICA认证的中国本土自然猫种；高密度被毛耐寒耐热；建议室内饲养并定期驱虫"
"橘猫","黄狸、黄猫","中华田园猫","中国","中型","3","6","","","","","短毛","10","16","温顺慵懒、亲人贪吃、适应力极强、互动欲强","极易发胖，需严格控制食量、定时定量、高蛋白低脂","肥胖；糖尿病；脂肪肝；泌尿系统结石","较强（田园猫基因多样）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","“十橘九胖”，公猫居多；贪吃易胖需终身控重"
"三花猫","三色猫、招财猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","性格多变、亲人黏人、好奇活泼、适应力强","肠胃略脆弱，避免频繁换粮；均衡营养","肠胃敏感；生殖系统肿瘤（未绝育母猫）；肥胖","较强（基因多样）","中等(每日15-30分钟互动玩耍)","新手友好、适合家庭","几乎全为母猫，公三花极罕见（约三千分之一）；民间视为招财猫原型"
"玳瑁猫","玳瑁斑猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","独立自信、警惕性强、活泼好动、精力旺盛","均衡饮食即可","肥胖；皮肤问题（花色无健康差异）","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、需有耐心","黑橘两色交织无明确界限；弃养率较高但体质好；多为母猫"
"奶牛猫","乌云盖雪、踏雪寻梅","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","活泼好动、好奇心旺盛、爱捣蛋、外向不怯生","精力旺盛需充足互动；控制体重","肥胖；外伤（好动）；泌尿系统问题","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、适合爱互动者","被戏称“喵界二哈”；掉毛较明显；需提供玩具消耗精力"
"玄猫","黑猫","中华田园猫","中国","中型","3","5","","","","","短毛","12","16","独立警觉、敏捷冷静、捕猎能力突出、熟悉后黏人","正常均衡饮食即可","肥胖；皮肤问题（黑色被毛易藏皮肤病）","较强（基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、适合安静环境","民俗中被认为辟邪驱恶；夜视能力强；阳光下被毛可能显棕色光泽"
"山东狮子猫","临清狮猫、狮猫","中华田园猫(长毛)","中国山东临清","中型","2.5","5","","","","","长毛","12","15","温顺安静、亲人黏人、对陌生人友善、耐寒","长毛猫需注意化毛膏预防毛球症；均衡饮食","耳聋（蓝眼侧）；毛球症；肥胖","较强（本土杂交品种，基因多样）","中等(每日15-30分钟互动玩耍)","适合家庭、需有梳毛时间","波斯猫与鲁西狸猫杂交后代；鸳鸯眼纯白个体最名贵但蓝眼侧多有听力障碍；掉毛严重需每日梳毛"
"四川简州猫","简州猫、四耳猫","中华田园猫(本土)","中国四川简阳","中大型","4","6","","","","","短毛","12","16","聪明矫健、认主护主、仅亲近主人、对陌生人有攻击性","正常饮食；会主动吃草补充叶酸","关节问题（运动量大）；外伤","较强（地方品种）","中等(每日15-30分钟互动玩耍)","需有经验者、不适合多宠新手","“四耳”特征（耳郭重叠看似四耳）；明清时期皇家贡品；捕鼠能力极强；国际未认证"
"云猫","石虎、纹猫","野生猫科(国家二级保护)","中国云南、西藏及东南亚","中型","3","5.5","76","120","","","长毛","8","12","野性警觉、独行、夜行、擅长攀爬","野生食肉（鸟类、松鼠、蜥蜴为主），不宜家养","野生寄生虫；应激性疾病","野生种，非家养","中等(每日15-30分钟互动玩耍)","不适合家养（受法律保护）","Pardofelis marmorata，国家二级保护野生动物；CITES附录I；体型比家猫稍大，尾长几乎与体长相等；严禁私人饲养"
"英短蓝猫","英国短毛猫(蓝色)、蓝猫","英短颜色变体","英国","中大型","3","8","45","70","","","短毛(双层)","12","16","温顺冷静、独立有度、安静少叫、包容性强","极易肥胖，禁止自助放粮；高蛋白低脂；成猫每日干粮50-60g","肥厚性心肌病(HCM)；多囊肾病(PKD)；肥胖；牙结石","中等（纯种猫，有遗传病风险）","中等(每日15-30分钟互动玩耍)","新手友好、上班族、适合家庭、公寓饲养","“五短三圆”经典蓝胖子；3岁才完全成熟；掉毛量大；每年需心脏彩超筛查"
