"medicine_name","english_name","category","active_ingredient","indication","mechanism","dosage","administration","suitable_for","contraindication","caution","is_rx","notes"
"吡喹酮","Praziquantel","驱虫药","吡喹酮","驱除绦虫、吸虫、血吸虫","使虫体肌肉痉挛性收缩并致皮层空泡变性从而驱杀寄生虫","内服：犬猫2.5-5mg/kg体重；幼犬幼猫按低限","口服","猫狗通用","4周龄内幼犬及6周龄内幼猫慎用；妊娠前期慎用","偶见厌食呕吐腹泻；不推荐单独用于幼龄犬猫","否","对绦虫有极高效；常与其它驱虫药配伍扩大谱系"
"芬苯达唑","Fenbendazole","驱虫药","芬苯达唑","驱除线虫(蛔虫、钩虫、鞭虫)、绦虫","与虫体微管蛋白结合抑制其功能从而驱虫","内服：犬猫50mg/kg体重；连用3日(犬猫一次给药无效)","口服","猫狗通用","妊娠前期忌用(致畸胚胎毒)；泌乳期慎用","犬猫需连用3日；偶见呕吐；白细胞减少罕见","否","商品名胖可求；安全性较高"
"阿苯达唑","Albendazole","驱虫药","阿苯达唑","驱除线虫、绦虫、吸虫及部分原虫","抑制虫体微管蛋白聚合及糖代谢","内服：犬10-25mg/kg；猫25mg/kg；连用3-5日","口服","猫狗通用","妊娠期禁用(致畸)；肝肾功能不全慎用","骨抑制及致畸风险；建议兽医指导下使用","是","抗虫谱较芬苯达唑更广"
"莫昔克丁","Moxidectin","驱虫药","莫昔克丁","预防心丝虫、驱除蛔虫钩虫；体外驱螨","激活虫体谷氨酸门控氯离子通道致麻痹","滴剂：按体重分档(猫2.6-7.5kg等)每月一次","滴背(外用)","猫狗通用","8周龄以下幼宠禁用；病弱宠物慎用","滴后48小时不可洗澡；避免人接触","否","常与吡虫啉复配为爱沃克"
"塞拉菌素(大宠爱)","Selamectin","驱虫药","塞拉菌素","防治跳蚤、耳螨、蛔虫钩虫、预防心丝虫","激活Cl-通道使寄生虫麻痹死亡","滴剂：猫2.6-7.5kg/支；犬按体重分档每月一次","滴背(外用)","猫狗通用","6周龄以下幼宠慎用；病弱及怀孕期遵医嘱","滴于颈部皮肤；2小时不可洗澡","否","体内外同驱；安全性较高"
"非泼罗尼(福来恩)","Fipronil","驱虫药","非泼罗尼","杀灭跳蚤、蜱虫","阻断虫体GABA受体致神经兴奋麻痹死亡","滴剂：按体重分档每月一次","滴背(外用)","猫狗通用","8周龄以下幼宠及病弱宠物禁用；猫专用款不可用于犬","滴后48小时不可洗澡；避免接触眼睛","否","福来恩为知名商品名；体外驱虫主力"
"米尔贝肟","Milbemycin Oxime","驱虫药","米尔贝肟","预防心丝虫、驱蛔虫钩虫鞭虫","激活谷氨酸门控Cl-通道致虫麻痹","内服：犬0.5mg/kg每月一次","口服","猫狗通用","8周龄以下幼宠慎用；柯利牧羊犬敏感需评估","心丝虫阳性犬需先检测","否","常与吡喹酮复配为米尔巴肟片"
"伊维菌素","Ivermectin","驱虫药","伊维菌素","驱除线虫、体外螨虫；预防心丝虫","增强GABA介导的Cl-内流致虫麻痹","内服或皮下：犬0.05-0.1mg/kg(预防心丝虫)；螨虫0.2-0.4mg/kg","口服或皮下注射","猫狗通用","柯利牧羊犬及相关MDR1基因突变犬禁用(神经毒性)；幼龄及体弱慎用","柯利系犬必须先做MDR1基因检测","是","价格低廉但安全窗窄需谨慎"
"吡虫啉","Imidacloprid","驱虫药","吡虫啉","杀灭跳蚤(成虫)","结合虫体烟碱型乙酰胆碱受体致麻痹","滴剂：按体重分档每月一次","滴背(外用)","猫狗通用","7周龄以下幼犬及9周龄以下幼猫慎用","常与莫昔克丁复配为爱沃克实现体内外同驱","否","起效快安全性高；对蜱虫效果弱"
"拜宠清(犬猫驱虫)","Drontal (Praziquantel+Pyrantel+Febantel)","驱虫药","吡喹酮+双羟萘酸噻嘧啶+非班太尔","驱除蛔虫钩虫鞭虫绦虫(广谱体内驱虫)","多成分协同麻痹及损伤虫体","内服：犬每10kg 1片；猫专用1片/4kg","口服","猫狗通用(分犬猫款)","妊娠期及幼龄(3周龄以下)慎用；肝功能不全慎用","空腹或少量喂食后给药；偶见呕吐腹泻","否","德国拜耳；广谱体内驱虫常备"
"猫三联疫苗","FVRCP Vaccine","疫苗","灭活或弱毒抗原(猫瘟病毒、猫疱疹病毒、猫杯状病毒)","预防猫瘟、猫病毒性鼻气管炎、猫杯状病毒感染","刺激机体产生特异性抗体","8周龄首针；间隔3-4周共3针；满3月龄加狂犬；每年加强1针","皮下或肌肉注射","猫","发热患病期推迟；对新到家猫适应1周再接种","接种后留观15-30分钟；7天内勿洗澡驱虫","否","核心疫苗所有猫必接种"
"狂犬疫苗","Rabies Vaccine","疫苗","灭活狂犬病毒抗原","预防狂犬病(人畜共患致死性疾病)","刺激产生狂犬病毒中和抗体","满3月龄接种1针；每年加强1针(或3年长效款)","皮下或肌肉注射","猫狗通用","患病发热期推迟；过敏体质遵医嘱","法律规定犬必须接种；接种后观察过敏反应","否","核心疫苗；犬只接种为法律义务"
"犬二联疫苗","Canine DHPPi2 Vaccine","疫苗","弱毒抗原(犬瘟热、犬细小病毒)","预防犬瘟热、犬细小病毒","刺激产生特异性免疫","6周龄首针1针","皮下注射","狗","患病期推迟；母源抗体干扰需按程序","幼犬首针；按程序完成联苗","否","幼犬早期基础免疫"
"犬四联疫苗","Canine DHPPi4 Vaccine","疫苗","弱毒抗原(犬瘟热、细小、腺病毒、副流感)","预防4种核心犬传染病","刺激产生免疫","8周龄接种1针","皮下注射","狗","患病期推迟；未完成免疫前避免接触陌生犬","作为基础免疫第2阶段","否","基础免疫组成"
"犬六联疫苗","Canine DHPPi6 Vaccine","疫苗","弱毒抗原(犬瘟热、细小、腺病毒、副流感、钩端螺旋体2型)","预防6种犬传染病","刺激产生免疫","12周龄起2针间隔4周；每年加强","皮下注射","狗","患病期推迟；钩体成分可致过敏","基础免疫核心；完成前勿去宠物公园","否","卫佳伍等；含钩端螺旋体"
"犬八联疫苗","Canine DHPPi8 Vaccine","疫苗","弱毒抗原(犬瘟热、细小、腺病毒、副流感、钩端螺旋体2型、冠状病毒等)","预防8种犬传染病","刺激产生免疫","12周龄起2针间隔4周；每年加强","皮下注射","狗","患病期推迟；钩体成分可致过敏","保护更全面","否","卫佳捌等；覆盖更广"
