"snack_name","english_name","category","main_ingredients","nutritional_value","efficacy","suitable_for","feeding_frequency","suitable_stage","caution","notes"
"鸡胸肉干","Chicken Jerky","肉干","鸡胸肉","高蛋白(粗蛋白≥60%)、低脂肪(≤8%)、富含B族维生素","补充蛋白质；训练奖励；易消化吸收","猫狗通用","每日1-3小块","全阶段","选择无盐无调味单一肉源产品；幼宠及老年宠需剪碎喂食避免噎呛；自制需彻底烘干当日用完","训练场景适口性好；市售冻干工艺营养保留更佳"
"牛肉条","Beef Strips","肉干","牛肉","高蛋白、富含铁锌及肌酸、氨基酸","补充蛋白质与铁元素；增肌壮骨","猫狗通用","每日1-2条","全阶段","牛肉易致部分犬只过敏；首次喂食少量观察；肾功能不全宠物慎用","适合大型犬及活动量大的犬只"
"鸭肉干","Duck Jerky","肉干","鸭胸肉","高蛋白、低脂、性凉富含烟酸与硒","清热降火；适合易上火及过敏体质宠物","猫狗通用","每日1-2条","全阶段","脾胃虚寒或腹泻期间慎喂；单一肉源降低致敏风险","对鸡肉过敏的宠物可作替代蛋白源"
"三文鱼块","Salmon Cubes","肉干","三文鱼肉","富含Omega-3脂肪酸(EPA/DHA)、优质蛋白、维生素D","美毛护肤；抗炎；保护心血管","猫狗通用","每周2-3次","全阶段","选择无刺或去刺产品避免卡喉；易变质需冷藏","Omega-3有助于改善掉毛和皮肤炎症"
"冻干鸡肉","Freeze-dried Chicken","冻干","鸡胸肉","粗蛋白≥78%、保留95%以上热敏营养素如牛磺酸","补充优质蛋白；训练奖励；可复水补水","猫狗通用","每日2-5粒","全阶段","开封需密封防潮；玻璃胃宠物首选单一肉源","-38至-40℃真空冻干工艺；可拌粮提升适口性"
"冻干鹌鹑","Freeze-dried Quail","冻干","整只鹌鹑","高蛋白、低脂、富含氨基酸与微量元素","补充全营养；适合猫的本能撕咬","猫狗通用","每周2-3只","全阶段","小型犬及幼猫需剪碎；带骨产品需监督进食","整只带骨鹌鹑模拟自然猎物"
"肉脯","Meat Jerky","肉干","鸡肉或牛肉、少量淀粉","蛋白质较高、含少量脂肪","解馋奖励；口感韧性锻炼咀嚼","猫狗通用","每日1-2片","全阶段","注意配料表避免过多淀粉与诱食剂；含盐产品不可喂猫","市售产品需关注肉含量比例"
"牛皮骨","Rawhide Bone","咬胶","牛皮","主要为胶原蛋白、少量脂肪","磨牙洁齿；缓解换牙期不适；消磨时间","狗","每周1-2根","全阶段(幼犬选软质)","易膨胀堵塞肠道需监督；吞咽大块需立即取出；有消化道病史犬只禁用","大型犬耐咬款、小型犬选软化处理款"
"磨牙棒","Dental Chew Stick","咬胶","牛皮、淀粉、肉泥夹心","蛋白质、少量膳食纤维","清洁牙齿、按摩牙龈、缓解换牙不适","狗","每周2-3根","全阶段(幼犬专用款)","按体型选尺寸；不可吞整根；糖尿病犬慎选含糖款","夹心款适口性更佳"
"洁齿骨","Dental Bone","咬胶","淀粉、肉类、洁齿成分(如聚磷酸钠)","低脂、含洁齿活性成分","减少牙菌斑与牙结石、清新口气","狗","每周2-3根","全阶段","选择VOHC认证产品效果更可靠；小型犬选小号","建议搭配定期刷牙效果更佳"
"鹿角","Antler","咬胶","天然鹿角","富含钙磷矿物质","高强度磨牙、耐咬持久、补钙","狗","每周1-2次(限时段)","成年","硬度高易崩裂牙齿尤其小型犬；出现尖锐碎裂立即丢弃；不可煮制","建议选切角款而非整角；老年犬与幼犬不推荐"
"牦牛奶酪(曲奇)","Yak Cheese Chew","咬胶","牦牛奶、少量盐与柠檬汁","高蛋白、高钙、低乳糖","耐咬磨牙、补充钙质、低敏","狗","每周1-2块","全阶段(幼犬慎用)","乳糖不耐受犬只慎用；微波膨胀后变脆需冷却再喂","源自喜马拉雅地区传统工艺；嚼小块可微波膨化"
"宠物饼干","Pet Biscuits","饼干","面粉、肉类、油脂、维生素","碳水化合物为主、含一定蛋白与纤维","解馋、洁齿、训练奖励","猫狗通用","每日1-3块","全阶段","含盐含糖款不宜多喂；肥胖宠物需减量","低温烘焙款营养保留较好"
"蛋糕","Pet Cake","饼干","面粉、鸡蛋、肉泥、奶酪","碳水与蛋白均衡、含脂肪","生日庆祝、情感互动、解馋","猫狗通用","特殊 occasion 偶尔","全阶段","不可含巧克力葡萄木糖醇；糖霜款需控量","宠物专用配方；勿用人用蛋糕"
"奶酪球","Cheese Balls","饼干","奶酪、面粉、油脂","高钙、高蛋白、含脂肪","补钙、解馋、训练奖励","猫狗通用","每日1-3粒","全阶段","乳糖不耐受宠物慎用；高脂肥胖宠物减量","选择低盐天然奶酪款"
