"display_name","alias","category","origin","size","weight_min","weight_max","body_length_min","body_length_max","height_min","height_max","coat_type","lifespan_min","lifespan_max","personality","nutrition_notes","common_risks","disease_resistance","exercise_need","suitable_for","notes"
"中华田园犬","土狗，菜狗，柴狗","中华田园犬系","中国","中型犬","10","25","","","40","60","短毛","12","20","忠诚，警觉，适应力强，独立，看家护院","杂食性强不挑食，注意营养均衡，避免剩饭剩菜高盐","狂犬病(未免疫)，寄生虫感染，犬瘟热，细小病毒","强(遗传病少，本土适应力强)","中等","农村家庭，首次养犬者，看家护院","中国本土犬统称，体型外貌差异大，体质强健"
"广西下司犬","下司犬","中华田园犬系","中国贵州麻江县下司镇","中型犬","20","30","","","45","55","短毛，双层毛","10","14","勇猛，忠诚，狩猎本能强，嗅觉灵敏","高蛋白饮食，运动量大需补充能量","髋关节问题，皮肤病，寄生虫","较强","高","狩猎爱好者，有院落家庭","中国三大猎犬之一，世界名猎犬，白色短毛"
"虎斑犬","虎斑猎犬，虎斑","中华田园犬系","中国","中型犬","15","25","","","45","60","短毛(虎斑纹)","10","14","警觉，勇猛，忠诚，敏捷","均衡饮食，运动量大需补充能量","髋关节发育不良，皮肤病","较强","高","有经验犬主，有院落家庭","以虎斑纹著称，数量稀少，本土猎犬"
"苏犬","苏犬，江苏犬","中华田园犬系","中国江苏","中型犬","15","25","","","45","55","短毛","12","16","温顺，忠诚，警觉，适应力强","杂食，注意营养均衡","寄生虫，皮肤病","强","中等","家庭饲养，看家护院","江苏地区本土犬，外貌类似柴犬"
"中国细犬","细犬，陕西细犬，山东细犬","中华田园犬系","中国山东，陕西","大型犬","20","35","","","60","75","短毛，长毛","10","14","敏捷，快速，狩猎本能强，视觉敏锐","高蛋白，运动量大需补充能量","关节问题，心脏病，胃扭转","较强","高","狩猎爱好者，有空间家庭","中国古老视觉猎犬，奔跑速度极快，与灵缇渊源"
"川东猎犬","川东犬，邻水犬","中华田园犬系","中国四川东部","中型犬","15","25","","","40","55","短毛","10","14","勇猛，凶悍，忠诚，领地意识强","高蛋白，肉食为主","皮肤病，关节问题","较强","高","有经验犬主，狩猎爱好者","中国名猎犬，性格凶猛，需严格训练社会化"
"昆明犬","昆明犬","中华田园犬系","中国云南昆明","大型犬","28","40","","","60","70","短毛","10","14","聪明，服从，勇敢，工作欲强，警觉","高蛋白，工作犬营养需求","髋关节发育不良，胃肠问题","较强","高","工作犬，军警犬，有经验犬主","中国自主培育工作犬，常用于军警，体型似德牧"
"京巴","北京犬，宫廷犬，哈巴狗","中国本土犬种","中国","小型犬","3","6","","","18","22","长毛","12","15","高傲，忠诚，温顺，固执","控制体重，易肥胖，注意补钙","眼球突出易受伤，呼吸困难(短鼻)，椎间盘疾病，皮肤病","中等","低","公寓家庭，老年人","中国古代宫廷犬，短鼻扁脸，怕热"
"西施犬","狮子犬，西施","中国本土犬种","中国西藏","小型犬","4","7","","","20","28","长毛","10","18","友善，温顺，活泼，傲娇","注意体重管理，避免肥胖","眼部问题，耳部感染，椎间盘疾病，呼吸困难(短鼻)","中等","低-中","公寓家庭，老年人","长毛需经常梳理，短鼻怕热，源于西藏"
"巴哥犬","哈巴狗，巴哥","中国本土犬种","中国","小型犬","6","9","","","25","33","短毛","12","15","温顺，友善，粘人，爱睡觉，憨厚","严格控制饮食，极易肥胖","呼吸困难(短鼻)，肥胖，皮肤病(褶皱)，眼部问题，中暑","中等","低","公寓家庭，老年人","短鼻犬怕热，脸部褶皱需经常清洁"
